Id,Date,University,Degree,Country,City,Do you understand that this is a paid course ?...3,Course Fee Email,Payment,Payment Receipt Sent,How did you hear about this course?,Gender,Age,Are you currently attending University / College?,Have you taken any foundational course in data science / econometrics / statistics / computer science?,"What programming language(s) are you most comfortable in (R, Python, Java, JS, etc.)? If none please type ""None"".",Prior Work Experience in Data Science or Machine Learning,Primary Reason for taking this course?,Do you understand that this is a paid course ?...21,"Prior Formal Education (course teaching or using R, university assignments, coding projects, course work, etc.) in R?","Prior Formal Education (course teaching or using Python, university assignments, coding projects, course work, etc.) in Python?",Prior Work Experience in R.,Prior Work Experience in Python.,"Personal Education or Knowledge (learning R on your own and/or doing personal projects, etc.) in R?",Do you have a LinkedIn Account?,"Do you have any feedback, thoughts, or comments you would like to share?",Latest Degree Completed or in Progress?
60,8/22/2022,IBA,Economics,Pakistan,Karachi,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,24,Yes,Econometrics,Python,Beginner (0 Years),Enhance my coding skills for programming and gain experience to get a decent job in  IT sector.,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,NA,Bachelors
61,8/22/2022,IBA,Bs EM,Pakistan,Karachi,Yes,Sent,Pending,NA,Linkedin,Male,20,Yes,All of them,"Python, java",Intermediate (2-3 Years),To gain real skill and market exposure,Yes,Intermediate (2-3 Years),Intermediate (2-3 Years),None (0 Years),Some (1 Year or Less),Learner (1 Year or Less),None,NA,Bachelors
62,8/22/2022,IQRA,BS Software Engineering,Pakistan,Karachi,No,Sent,Pending,NA,From a Friend,Male,25,No,None of them,java,Beginner (0 Years),Want to learn,No,Learner (1 Year or Less),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,No,Bachelors
63,8/22/2022,IBA,Mathematics,Pakistan,Gilgit,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Female,21,No,All of them,R and python,Learner (1 Year or Less),Enhace my knowledge about data science and improving myjob prospects,No,Intermediate (2-3 Years),Learner (1 Year or Less),Intermediate (2-3 Years),Some (1 Year or Less),Beginner (0 Years),TRUE,What is the criteria for getting a financial aid to complete the course?,Masters
64,8/25/2022,IBA,Compute Science,Pakistan,Karachi,No,Sent,Paid,Yes,"Social Media (Facebook, Whatsapp etc)",Female,31,No,Computer Science,Python,Learner (1 Year or Less),Hands-on practical learning,No,Learner (1 Year or Less),Learner (1 Year or Less),None (0 Years),Intermediate (2-3 Years),Beginner (0 Years),TRUE,NA,Bachelors
65,8/22/2022,KU,BS Software Engineering,Pakistan,Karachi,Yes,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,23,Yes,All of them,Python,Learner (1 Year or Less),For career development,Yes,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),Intermediate (2-3 Years),Beginner (0 Years),TRUE,NA,Bachelors
66,8/22/2022,Baqai medical University,BS Software Engineering,Pakistan,Karachi,No,Sent,Pending,NA,Other,Male,25,Yes,Data Science,C sharp,Beginner (0 Years),field already software side,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,Yes,Bachelors
67,8/22/2022,IBA,Accounting and Finance,Pakistan,Karachi,No,Sent,Pending,NA,From a Friend,Male,21,Yes,Statisitics,Python,Beginner (0 Years),Wanna Perue a career in somewhat intersection of data science and finance,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,No,Bachelors
68,8/22/2022,IQRA,BS Software Engineering,Pakistan,Karachi,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,26,No,Computer Science,.NET CORE,Intermediate (2-3 Years),IMPROVE SKILLS,No,Beginner (0 Years),Learner (1 Year or Less),Some (1 Year or Less),Some (1 Year or Less),Beginner (0 Years),NONE,NA,Bachelors
69,8/22/2022,SMIU,BS in AI,Pakistan,Karachi,Yes,Sent,Pending,NA,"University Forums (Alumni,Senior, Career forums)",Female,21,Yes,Data Science,Python,Learner (1 Year or Less),To explore and to learn new thing because my aim is to become a best Data scientist,Yes,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),Some (1 Year or Less),Beginner (0 Years),TRUE,I am very passionate about my field and right now i want this opportunity so that i can learn new things.,Bachelors
70,8/22/2022,IBA,Economics,Pakistan,Karachi,No,Sent,Pending,NA,"University Forums (Alumni,Senior, Career forums)",Female,25,No,All of them,Python,Learner (1 Year or Less),To furnish the skills,No,Learner (1 Year or Less),Learner (1 Year or Less),None (0 Years),None (0 Years),Learner (1 Year or Less),TRUE,No paid,Bachelors
71,8/22/2022,University of Central Punjab,Compute Science,Pakistan,Lahore,Yes,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,23,No,Computer Science,"Python, Java, PHP, C++",Learner (1 Year or Less),Want To Explore New Things In Data Sciences,Yes,Learner (1 Year or Less),Intermediate (2-3 Years),Some (1 Year or Less),Intermediate (2-3 Years),Learner (1 Year or Less),TRUE,NA,Bachelors
72,8/22/2022,Superior University,Compute Science,Pakistan,Lahore,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,22,No,Computer Science,JS,Beginner (0 Years),To get a good job.,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,NA,Bachelors
73,8/22/2022,NED,Accounting and Finance,Pakistan,Karachi,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Female,24,No,All of them,"Python, PL/SQL",Learner (1 Year or Less),Want to enhance my skillsets more towards data science,No,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),Intermediate (2-3 Years),Beginner (0 Years),TRUE,I wants to make my identity in data science industry by opting this opportunity.,Bachelors
74,8/22/2022,IQRA,Compute Science,Pakistan,Karachi,Yes,Sent,Pending,NA,"University Forums (Alumni,Senior, Career forums)",Male,26,Yes,Data Science,pythob,Beginner (0 Years),i have a interest,Yes,Beginner (0 Years),Beginner (0 Years),None (0 Years),Some (1 Year or Less),Learner (1 Year or Less),TRUE,none,Bachelors
75,8/22/2022,IQRA,Incomplete Infromation,Pakistan,Karachi,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Female,24,No,Computer Science,Python,Beginner (0 Years),I want to learn,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Learner (1 Year or Less),TRUE,No,Bachelors
76,8/22/2022,GCU Lahore,BS,Pakistan,Lahore,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,23,Yes,Data Science,C++ and Python,Beginner (0 Years),To get hands on training from professionals,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,Nil,Bachelors
77,8/22/2022,IBA,Business Administration,Pakistan,Karachi,Yes,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,23,Yes,None of them,None,Beginner (0 Years),I am pursuing Actuarial Sciences and this will help later in ny career,Yes,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,NA,Bachelors
78,8/22/2022,IQRA,Business Administration,Pakistan,Karachi,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,20,Yes,None of them,None,Learner (1 Year or Less),IAM interested in this course,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,This course is free or paid,Bachelors
79,8/22/2022,Dha suffa university,Compute Science,Pakistan,Karachi,No,Sent,Pending,NA,From a Friend,Male,22,No,Data Science,python,Learner (1 Year or Less),to get job,No,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),Intermediate (2-3 Years),Beginner (0 Years),TRUE,NA,Bachelors
80,8/22/2022,IQRA,BS Software Engineering,Pakistan,Karachi,No,Sent,Pending,NA,Linkedin,Male,24,No,All of them,Python,Beginner (0 Years),Learn something new,No,Learner (1 Year or Less),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,How long you take time to inform me related to the course,Bachelors
81,8/22/2022,QU,Information Technology,Pakistan,Islamabad,No,Sent,Pending,NA,From a Friend,Male,24,No,Computer Science,Python,Learner (1 Year or Less),Because this is most demanded field In future,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),None,Thanks,Bachelors
82,8/22/2022,The Islamia University of Bahawalpur,Compute Science,Pakistan,Lahore,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Female,25,No,Computer Science,C#,Beginner (0 Years),"I am interested in Data Science and Machine Learning that's why, I would like to do this Course.",No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),None,NA,Bachelors
83,8/22/2022,SSUET,BS in AI,Pakistan,Karachi,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Female,20,Yes,Data Science,Python Javascript,Learner (1 Year or Less),I want to become machine learning engineer,No,Learner (1 Year or Less),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),TRUE,no,H.S.C
84,8/22/2022,SMIU,BS in AI,Pakistan,Karachi,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,21,Yes,Data Science,Python,Learner (1 Year or Less),To gain some experience,No,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),Some (1 Year or Less),Beginner (0 Years),TRUE,Its a great opportunity for fresh students to familiar with data science,H.S.C
85,8/22/2022,IQRA,BS Software Engineering,Pakistan,Karachi,No,Sent,Pending,NA,From a Teacher,Male,21,Yes,Data Science,Java &  python,Beginner (0 Years),To Learn more new things,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,Hope I will learn new era things in data science,H.S.C
86,8/22/2022,QU,Economics,Pakistan,Lahore,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,22,Yes,All of them,None,Learner (1 Year or Less),To learn more about data science especially want to  understand how to use softwares especially Python and R.,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,Nope.,Masters
87,8/22/2022,The Islamia University of Bahawalpur,Compute Science,Pakistan,Lahore,No,Sent,Pending,NA,Linkedin,Male,21,No,Computer Science,Python,Beginner (0 Years),I want to sharp up my skills regarding Data Science and Machine Learning.,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),TRUE,My addition to your software company would be beneficial for both.,Bachelors
88,8/22/2022,SirSyed,BS Software Engineering,Pakistan,Karachi,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,23,Yes,Statisitics,Python,Beginner (0 Years),Passion in Data science,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Intermediate (2-3 Years),TRUE,No,Bachelors
89,8/22/2022,Adamjee Government Science College,Pre-Engineering,Pakistan,Karachi,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,20,No,Computer Science,"python,Js",Beginner (0 Years),I want to learn data science and artificial intelligence in future because Ai is future.,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,This is a great oppurtunity for the student who want to make future bright with the help of this company.,H.S.C
90,8/22/2022,SirSyed,BS Software Engineering,Pakistan,Karachi,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,22,No,Computer Science,"JS, Java",Beginner (0 Years),Hands on experience,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),TRUE,NA,Bachelors
91,8/22/2022,SirSyed,BS Software Engineering,Pakistan,Karachi,Yes,Sent,Pending,NA,From a Friend,Male,24,No,All of them,"R, python",Beginner (0 Years),Expand my experience in data science.,Yes,Intermediate (2-3 Years),Intermediate (2-3 Years),Some (1 Year or Less),Intermediate (2-3 Years),Learner (1 Year or Less),TRUE,How much stipend will I get.,Bachelors
92,8/22/2022,IQRA,Compute Science,Pakistan,Karachi,Yes,Sent,Pending,NA,From a Friend,Female,22,Yes,Computer Science,python,Beginner (0 Years),Want to learn,Yes,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,NA,Bachelors
93,8/22/2022,SirSyed,Compute Science,Pakistan,Karachi,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,22,Yes,None of them,React and JS,Beginner (0 Years),Exposure and learning,No,Learner (1 Year or Less),Learner (1 Year or Less),Some (1 Year or Less),Some (1 Year or Less),Learner (1 Year or Less),TRUE,No,Bachelors
94,8/22/2022,SirSyed,BS Software Engineering,Pakistan,Karachi,No,Sent,Pending,NA,Linkedin,Male,23,Yes,None of them,Python,Beginner (0 Years),Want some knowledge,No,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),Some (1 Year or Less),Beginner (0 Years),TRUE,NA,Bachelors
95,8/22/2022,SirSyed,BS Software Engineering,Pakistan,Karachi,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,23,Yes,Data Science,"Python, SQL, R, Java",Intermediate (2-3 Years),"To gain practical experience, and apply machine learning/data science in different use case scenario.",No,Learner (1 Year or Less),Intermediate (2-3 Years),None (0 Years),Some (1 Year or Less),Learner (1 Year or Less),TRUE,Yes. I am willing to dedicate my efforts to this. Regards,Bachelors
96,8/22/2022,Memon Industrial and Technical Institute,Compute Science,Pakistan,Karachi,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,18,Yes,Computer Science,Javascript,Learner (1 Year or Less),Interest in machine learning,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,No,H.S.C
97,8/22/2022,SirSyed,Compute Science,Pakistan,Karachi,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Female,22,Yes,Computer Science,python and java,Beginner (0 Years),gain experience,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),Some (1 Year or Less),Beginner (0 Years),TRUE,not yet,Bachelors
98,8/22/2022,SirSyed,BS Software Engineering,Pakistan,Karachi,Yes,Sent,Maybe,NA,Linkedin,Male,23,No,Statisitics,Python,Beginner (0 Years),For  become proficient in data analytics and data science,Yes,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),TRUE,NA,Bachelors
99,8/22/2022,IQRA,BS Software Engineering,Pakistan,Karachi,No,Sent,Pending,NA,From a Teacher,Male,24,Yes,Data Science,Python,Beginner (0 Years),To get learn about industrial projects & workflow with a team to achieve goals.,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,NA,Bachelors
100,8/22/2022,KU,BS Software Engineering,Pakistan,Karachi,Yes,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,22,Yes,Computer Science,"Python,JS",Learner (1 Year or Less),Seeking Career in the Field of Data Science,Yes,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),None,Great Initiative as there are very less oppurtunities in the field od Data Science in Pakistan.,Bachelors
101,8/22/2022,SirSyed,Compute Science,Pakistan,Karachi,No,Sent,Pending,NA,From a Friend,Male,26,Yes,Computer Science,Python,Beginner (0 Years),to learn machine learning,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),TRUE,none,Bachelors
102,8/22/2022,SirSyed,BS Software Engineering,Pakistan,Karachi,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,25,No,Statisitics,"C language, Java, python.",Beginner (0 Years),To improve my Skillset,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,None!,Bachelors
103,8/22/2022,SMIU,Statistics,Pakistan,Hyderabad,No,Sent,Pending,NA,Other,Male,21,Yes,Statisitics,R and Python,Beginner (0 Years),Interest,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),None,"I have Interest in learning about data science, machine learning and artificial intelligence.  This might be the best way to learn it with professionals and would be glad to learn from experience teachers.",Bachelors
104,8/22/2022,SirSyed,BS Software Engineering,Pakistan,Karachi,No,Sent,Pending,NA,From a Friend,Male,21,Yes,None of them,Java,Beginner (0 Years),I am eager to learn,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,It would be great if I could enroll in this course for free,Bachelors
105,8/22/2022,IQRA,Engineering and Energy,Pakistan,Karachi,Yes,Sent,Pending,NA,From a Friend,Male,23,Yes,None of them,Python,Beginner (0 Years),Want to learn more skills and got a opportunity of internship and got lot of experience,Yes,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),None,NA,Bachelors
106,8/22/2022,SirSyed,BS Software Engineering,Pakistan,Karachi,Yes,Sent,Maybe,NA,From a Teacher,Male,22,Yes,Computer Science,"Python, Java, Javascript, dart",Beginner (0 Years),Needed to learn and build good understanding of data science to pursue the career of Data Scientist.,Yes,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,Yes I greatly respect on the your efforts on teaching us young generation..,Bachelors
107,8/22/2022,SirSyed,Compute Science,Pakistan,Karachi,Yes,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,24,No,Computer Science,Java or js,Beginner (0 Years),To gain knowledge,Yes,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,NA,Bachelors
108,8/22/2022,SirSyed,BS Software Engineering,Pakistan,Karachi,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,22,Yes,Econometrics,Python,Beginner (0 Years),My love for data and its application in our normal and professional life,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),None,No,Bachelors
109,8/22/2022,NED,Compute Science,Pakistan,Karachi,No,Sent,Pending,NA,From a Friend,Female,33,Yes,Computer Science,"Python,c#",Learner (1 Year or Less),It will help me in pursing my phd degree,No,Advanced (4+),Intermediate (2-3 Years),None (0 Years),Some (1 Year or Less),Beginner (0 Years),TRUE,NA,PhD
110,8/22/2022,SSUET,BS Software Engineering,Pakistan,Karachi,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,25,No,Computer Science,Python,Beginner (0 Years),Build and Enhance skills and Experience in Data Science,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),TRUE,Good Work,Bachelors
111,8/23/2022,IQRA,BS Software Engineering,Pakistan,Karachi,Yes,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,23,No,Data Science,"Python, Java",Beginner (0 Years),Want to learn more about Data Science and persuemy carrier in data science,Yes,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),TRUE,NA,Bachelors
112,8/23/2022,SirSyed,BS Software Engineering,Pakistan,Karachi,Yes,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Female,22,Yes,Statisitics,"Java, python, c",Beginner (0 Years),To gain more knowledge and broaden my horizon.,Yes,Intermediate (2-3 Years),Intermediate (2-3 Years),None (0 Years),Some (1 Year or Less),Beginner (0 Years),None,NA,Bachelors
113,8/23/2022,SirSyed,BS Software Engineering,Pakistan,Karachi,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,23,Yes,Statisitics,"Java,python",Learner (1 Year or Less),I am willing to develop advance application,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),TRUE,None,Bachelors
114,8/23/2022,IBA,Business Administration,Pakistan,Karachi,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,25,Yes,None of them,None,Beginner (0 Years),Want to learn about it.,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,NA,Masters
115,8/23/2022,SirSyed,Compute Science,Pakistan,Karachi,No,Sent,Pending,NA,"University Forums (Alumni,Senior, Career forums)",Female,22,Yes,All of them,"Python, Java, JS, HTML, CSS",Beginner (0 Years),I just want to learn data science in a flow.,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,Currently nothing,Bachelors
116,8/23/2022,SSUET,BS Software Engineering,Pakistan,Not Specified,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Female,21,Yes,None of them,"HTML 5, Java, python",Beginner (0 Years),To learn and grow more in AI industry.,No,Beginner (0 Years),Learner (1 Year or Less),None (0 Years),Some (1 Year or Less),Beginner (0 Years),TRUE,I want this internship!,Bachelors
117,8/23/2022,IQRA,Business Administration,Pakistan,Karachi,No,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Male,22,Yes,Statisitics,Python,Beginner (0 Years),To learn Data Science,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),None,No,Bachelors
118,8/23/2022,NED,Compute Science,Pakistan,Karachi,No,Sent,Pending,NA,"University Forums (Alumni,Senior, Career forums)",Male,21,Yes,Data Science,Python,Learner (1 Year or Less),Experience,No,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),Intermediate (2-3 Years),Beginner (0 Years),None,-,H.S.C
119,8/23/2022,IQRA,Compute Science,Pakistan,Karachi,No,Sent,Pending,NA,From a Friend,Male,22,Yes,Computer Science,"JavaScript, Python",Beginner (0 Years),Interested in this field,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),Some (1 Year or Less),Beginner (0 Years),TRUE,No,Bachelors
120,8/23/2022,SirSyed,Bachelor's in Bioinformatics,Pakistan,Karachi,Yes,Sent,Pending,NA,"Social Media (Facebook, Whatsapp etc)",Female,22,No,All of them,Python and linux,Learner (1 Year or Less),Because I have completed my bachelor's in Bioinformatics which is about data science and machine learning,Yes,Beginner (0 Years),Intermediate (2-3 Years),None (0 Years),Advanced (4+),Beginner (0 Years),TRUE,I am interested in this training,Bachelors
121,8/23/2022,IQRA,Compute Science,Pakistan,Karachi,No,Sent,Pending,NA,From a Teacher,Female,26,No,Computer Science,Java,Beginner (0 Years),Interested,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,Excited,Bachelors
122,8/23/2022,Aptech Institute,BS Software Engineering,Pakistan,Karachi,No,Sent,Pending,NA,From a Friend,Male,25,No,Computer Science,None,Beginner (0 Years),To start a career in machine learning,No,Beginner (0 Years),Beginner (0 Years),None (0 Years),None (0 Years),Beginner (0 Years),TRUE,No,H.S.C
123,8/31/2022,IBA,Economics,Pakistan,Karachi,NA,Sent,Paid,NA,Other,Male,25,Yes,Econometrics,None,Beginner (0 Years),Enter the field of data science,Yes,Learner (1 Year or Less),Learner (1 Year or Less),Some (1 Year or Less),Some (1 Year or Less),Learner (1 Year or Less),TRUE,NA,Bachelors
